timestamp,route,model,input_tokens,output_tokens,latency_ms,ttft_ms,cost_eur,reason
1789834382.2003174,api,mistralai/mistral-large-2407,54837,97,6089.842696999995,,0.096198457,eval run over cnil_sanction_google_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834389.6971185,api,mistralai/mistral-large-2407,54836,82,1865.9202240000923,,0.09611817199999999,eval run over cnil_sanction_google_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834393.4112663,api,mistralai/mistral-large-2407,12334,78,2540.929260999974,,0.021931238,eval run over conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834463.270601,api,mistralai/mistral-large-2407,94799,901,22493.980700000066,,0.17014189100000002,eval run over vinci_semestriel_2025 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834482.8331149,api,mistralai/mistral-large-2407,10134,1457,18430.2642560001,,0.025312682000000003,eval run over edpb_guidelines_04_2021 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834517.4412098,api,mistralai/mistral-large-2407,115279,271,16227.930728000047,,0.202580811,eval run over schrems_ii_fr;schrems_ii_en — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834535.5826006,api,mistralai/mistral-large-2407,67170,402,11991.767239000183,,0.119316522,eval run over cnil_sanction_google_fr;conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834558.045388,local,mistral:7b-instruct,79,13,17127.364822000345,,0.0,"short, non-technical, single document"
1789834585.2485404,api,mistralai/mistral-large-2407,71933,1538,25298.635018999903,,0.133576053,eval run over schrems_ii_fr;edpb_guidelines_04_2021 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834646.5017278,api,mistralai/mistral-large-2407,94796,79,9784.966411999903,,0.165832664,eval run over vinci_semestriel_2025 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834687.1224396,api,mistralai/mistral-large-2407,94787,76,7701.929626000037,,0.165801251,eval run over vinci_semestriel_2025 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834692.9769204,api,mistralai/mistral-large-2407,10128,54,1714.542960000017,,0.017956104,eval run over edpb_guidelines_04_2021 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834758.3752463,api,mistralai/mistral-large-2407,61737,473,48903.90363200004,,0.110207693,eval run over schrems_ii_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834835.8069003,api,mistralai/mistral-large-2407,54831,1405,60446.48665099976,,0.10303667500000001,eval run over cnil_sanction_google_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834883.2190123,api,mistralai/mistral-large-2407,12334,501,44240.281772000344,,0.024146066,eval run over conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834933.2438264,api,mistralai/mistral-large-2407,99575,197,14639.930584000012,,0.17478986700000002,eval run over cnil_sanction_google_fr;cnil_sanction_google_en — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834978.724987,api,mistralai/mistral-large-2407,61756,1788,31409.233631999996,,0.117126188,eval run over schrems_ii_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789834999.814236,api,mistralai/mistral-large-2407,54850,559,8868.90872899994,,0.098640174,eval run over cnil_sanction_google_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789835009.4988081,api,mistralai/mistral-large-2407,12343,426,6936.583051000071,,0.023769071000000003,eval run over conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789836153.826762,local,mistral:7b-instruct,5750,69,303107.00833800004,,0.0,eval run over conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789839572.480024,local,mistral:7b-instruct,5750,378,352481.5302380002,,0.0,eval run over conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789850894.0491753,api,mistralai/mistral-large-2407,94796,80,46675.04742999881,,0.1658379,eval run over vinci_semestriel_2025 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789850904.290024,api,mistralai/mistral-large-2407,94787,105,2659.6736300016346,,0.16595309500000002,eval run over vinci_semestriel_2025 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789850907.6481676,api,mistralai/mistral-large-2407,10128,79,2184.2825730018376,,0.018087004,eval run over edpb_guidelines_04_2021 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789850959.889646,api,mistralai/mistral-large-2407,61737,404,47341.656357999454,,0.109846409,eval run over schrems_ii_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789851027.3490055,api,mistralai/mistral-large-2407,54831,1526,62588.629329999094,,0.103670231,eval run over cnil_sanction_google_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789851035.9201512,api,mistralai/mistral-large-2407,12334,518,7660.2608549983415,,0.024235078,eval run over conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789851073.3193798,api,mistralai/mistral-large-2407,99575,214,25950.24552399991,,0.17487887900000001,eval run over cnil_sanction_google_fr;cnil_sanction_google_en — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789851094.211245,api,mistralai/mistral-large-2407,61756,871,16292.390796999825,,0.11232477600000002,eval run over schrems_ii_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789851148.4689558,api,mistralai/mistral-large-2407,54850,565,49063.799108997046,,0.09867159,eval run over cnil_sanction_google_fr — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789851191.1037657,api,mistralai/mistral-large-2407,12343,349,41836.379409000074,,0.023365899000000002,eval run over conseil_etat_google_2020 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
1789851755.4792597,local,mistral:7b-instruct,10700,37,547918.2534749998,,0.0,eval run over edpb_guidelines_04_2021 — auto-decision was local (document contains detected PII: sovereignty gate overrides complexity)
